v0001	p_ext_pobres	p_pobres	idmh_renda	idmh_longevidade	idmh_educacao
11	2.64	7.95	0.764	0.819	0.638
12	4.85	14.38	0.729	0.798	0.661
13	3.75	12.9	0.738	0.826	0.658
14	5.03	13.61	0.737	0.816	0.708
15	21.98	39.82	0.751	0.822	0.673
16	5.89	18.15	0.723	0.82	0.663
17	4.71	16.63	0.789	0.827	0.749
21	4.53	13.81	0.741	0.813	0.752
22	4.44	14.6	0.731	0.82	0.707
23	3.36	12.14	0.749	0.824	0.695
24	2.92	10.5	0.768	0.835	0.694
25	3.48	11.59	0.77	0.832	0.693
26	4.77	13.2	0.77	0.832	0.693
27	5.29	15.57	0.739	0.799	0.635
28	3.43	11.11	0.784	0.823	0.708
29	3.97	11.35	0.772	0.835	0.679
31	0.79	3.8	0.841	0.856	0.737
32	0.64	3.51	0.876	0.855	0.805
33	1.25	5.01	0.84	0.845	0.719
35	0.92	4.27	0.843	0.855	0.725
41	0.48	1.73	0.85	0.855	0.768
42	0.27	1.35	0.87	0.873	0.8
43	0.92	3.82	0.867	0.857	0.702
50	0.99	4.59	0.79	0.844	0.724
51	1.33	5.31	0.8	0.834	0.726
52	0.54	3.09	0.824	0.838	0.739
53	1.19	4.93	0.863	0.873	0.742
