v0001anomes	c7	ct	cnt	pomif	poinf	taxami	taxasc
11/2011/11	48.94	48.27	187.19	66.67	37.5	10.11	8.85
11/2012/2	44.93	46.67	279.00	85.71	87.5	10.88	5.44
11/2012/3	45.99	82.18	225.84	81.25	66.67	12.41	5.52
11/2012/4	46.07	105.1	198.47	90.48	57.14	9.75	5.57
11/2012/5	42.62	102.37	217.94	55.56	6.25	20.89	3.92
11/2012/6	44.13	96.74	252.02	84.21	30	13.66	6.83
11/2012/7	44.95	95.77	233.09	63.64	30	13.18	2.64
11/2012/8	48.48	96.31	236.73	92.31	30	13.48	2.70
11/2012/9	46.5	99.73	271.66	61.9	14.29	19.18	6.85
11/2012/10	54.11	98.49	163.73	65	20	12.8	1.28
11/2012/11	49.55	92.7	224.39	50	0	13.04	3.91
11/2013/1	48.64	102.45	136.62	78.57	66.67	7.79	2.60
11/2013/2	46.36	95.45	220.90	90.91	100	4.45	8.90
11/2013/3	48.66	108.01	219.15	80	62.5	22.89	4.29
11/2013/4	47.93	103.72	187.03	95	28.57	19.02	6.79
11/2013/5	46.06	94.57	146.48	76.92	38.46	16.77	3.87
11/2013/7	42.68	103.28	139.21	75	14.29	8.93	7.65
12/2011/10	42.86	0	191.02	100	20	8.67	1.73
12/2012/1	46.11	0	128.12	100	87.5	13.86	0.00
12/2012/2	45.93	0	133.73	100	66.67	12.96	4.32
12/2012/5	43.81	0	185.00	100	100	9.04	1.81
12/2012/7	48.81	0	53.05	92.31	100	7.66	7.66
12/2012/8	45.98	0	62.11	100	83.33	12.27	16.36
12/2012/9	42.33	0	44.86	100	100	12.26	10.51
12/2012/10	49.39	0	23.70	92.86	100	17.73	3.55
12/2012/11	48.05	0	21.11	100	88.89	15.73	0.00
12/2012/12	50	0	24.00	100	100	6.92	1.73
12/2013/1	46.19	0	106.98	100	100	25.82	6.88
12/2013/3	47.13	0	8.10	100	100	12.33	12.33
12/2013/6	47.61	0	188.38	100	100	8.5	1.70
12/2013/7	50.51	0	124.91	90	100	8.58	6.86
13/2012/1	37.89	89.03	184.33	75	51.06	13.65	4.65
13/2012/2	33.28	89.69	223.02	67.8	41.51	16.3	3.69
13/2012/4	32.24	84.14	233.89	61.19	34.15	12.73	3.10
13/2012/5	33.1	77.27	269.10	70	40.74	16.23	2.10
13/2012/6	32.67	81.73	217.55	66.67	42.11	11.71	1.54
13/2012/7	33.03	84.29	194.93	62.5	57.14	12.35	2.65
13/2012/8	32.43	74.01	191.13	68.52	36.92	18.11	5.29
13/2012/9	32.24	67.6	242.61	61.54	33.33	13.05	4.64
13/2012/10	35.67	95.16	179.77	67.65	34.09	11.91	3.52
13/2012/11	32.24	72.28	195.52	60.29	31.82	12.35	3.37
13/2012/12	31.34	78.59	205.19	51.92	26.19	11.62	4.70
13/2013/1	31.89	66.84	17258.56	78.69	42.31	14.32	4.13
13/2013/2	29.05	91.19	266.06	58.06	46.15	20.17	4.03
13/2013/3	31.01	62.17	229.82	71.43	44.23	14.57	3.36
13/2013/4	32.21	83.19	237.96	63.49	43.14	15.09	3.25
13/2013/5	31.18	68.76	246.55	72.31	60.56	20.52	3.47
13/2013/7	32.46	78.33	265.98	70.21	68.29	11.84	6.35
14/2012/1	45.16	2.89	61.23	100	87.5	14.16	10.62
14/2012/2	41.06	7.79	66.33	100	91.67	25.48	4.25
14/2012/4	46.14	8.69	98.75	100	100	7.83	9.78
14/2012/5	43.84	0	119.41	100	77.78	16.13	3.58
14/2012/6	42.65	0	64.62	100	80	21.28	14.89
14/2012/7	47.02	0	96.13	100	100	12.75	7.29
14/2012/8	45.72	0	88.56	100	0	1.77	12.39
14/2012/9	42.3	26.55	58.19	100	85.71	13.38	5.74
14/2012/10	46.08	0	72.90	100	100	18.08	1.81
14/2012/12	42.12	77.84	56.85	100	71.43	13.23	9.45
14/2013/1	45.56	61.81	71.94	100	100	10.68	7.12
14/2013/2	42.88	33.63	68.66	100	87.5	16.88	10.55
14/2013/3	41.14	76.16	60.90	83.33	100	16.01	8.90
14/2013/4	48.75	0	75.56	100	100	12.05	16.06
14/2013/5	46.59	0	60.61	95.65	100	22.26	11.13
14/2013/6	48.98	0	70.78	100	100	5.78	3.85
14/2013/7	44.7	0	53.89	100	100	7.63	13.36
15/2012/2	58.44	56.86	214.41	83.67	26.32	12.48	4.60
15/2012/3	56.77	67.81	183.11	74.63	12.5	17.64	0.55
15/2012/4	58.05	71.5	205.04	68.25	11.11	20.13	1.68
15/2012/5	56.15	72.71	184.08	73.44	0	15.53	3.88
15/2012/6	55.19	69.22	200.97	63.04	13.89	21.77	2.42
15/2012/8	56.22	70.46	191.16	66.67	6.67	17.05	3.41
15/2012/11	58.69	70.7	178.65	56.9	3.23	16.76	3.78
15/2012/12	58.32	78.05	139.99	58.62	0	15.53	4.66
15/2013/1	56.68	60.09	176.06	88.24	54.29	18.69	4.81
15/2013/3	54.97	66.48	158.86	87.5	63.33	16.21	2.16
15/2013/5	59.73	68.22	168.87	78.57	53.33	15.16	0.00
15/2013/6	58.11	55.33	186.02	82.05	52.5	22.23	2.22
15/2013/7	56.64	52.75	150.54	72.09	35.48	16.6	0.00
16/2012/1	33.91	60.86	0.00	85.71	23.08	15.97	6.14
16/2012/2	33.78	57.25	0.00	88.89	0	12.57	12.57
16/2012/3	35.89	55.45	0.00	88.89	26.67	20.41	12.24
16/2012/4	34.56	61.63	0.00	100	27.27	16.13	10.26
16/2012/5	31.38	58.65	0.00	100	14.29	28.81	8.23
16/2012/6	33.2	74.07	0.00	86.67	25	17.91	13.43
16/2012/7	35.22	70.6	0.00	88.89	11.11	23.68	18.42
16/2012/9	34	74.71	0.00	91.67	3.85	32.54	6.26
16/2012/10	40.68	54.19	0.00	50	0	34.52	16.67
16/2012/12	39.29	59.69	0.00	66.67	0	15.71	13.09
16/2013/1	34.03	9.69	0.00	88.24	69.57	28.47	17.33
16/2013/2	28.84	0	0.00	87.5	38.46	18.23	15.43
16/2013/3	30.43	0	0.00	90.91	52.38	27.78	25.13
16/2013/5	29.86	0.68	0.00	69.23	88.24	22.76	16.06
16/2013/6	35.88	0	0.00	90.91	52.63	24.71	7.80
16/2013/7	33.55	0	0.00	57.14	50	15.71	1.31
17/2012/1	56.33	35.73	26.02	100	100	10.08	0.00
17/2012/2	56.17	20.15	28.99	100	100	15.02	6.01
17/2012/3	58.86	26.73	36.74	100	100	13.76	9.17
17/2012/4	63.53	29.82	45.76	100	100	9.62	7.21
17/2012/6	61.18	31.11	29.01	100	100	6.98	9.30
17/2012/7	61.86	19.77	23.29	100	100	10.05	5.03
17/2012/8	57.04	38.44	29.77	100	100	5	10.00
17/2012/10	69.13	4.92	37.76	100	100	4.74	9.48
17/2012/12	68.52	24.07	20.90	100	100	5.75	11.49
17/2013/1	61.21	114.37	33.67	100	100	2.62	2.62
17/2013/3	64.08	111.26	33.67	100	100	18.87	8.09
17/2013/5	65.42	107.27	0.00	100	100	14.12	11.76
17/2013/6	64.71	0	0.00	100	100	11.49	4.60
17/2013/7	60.46	0	4.66	100	100	9.66	14.49
21/2012/1	41.62	13.43	61.93	100	27.27	14.72	11.37
21/2012/2	41.07	20.87	70.22	96	39.13	16.49	1.43
21/2012/4	42.95	22.26	2.80	95.83	29.41	12.49	6.61
21/2012/5	42.84	22.19	0.00	96.67	45	13.47	5.39
21/2012/6	42.42	5.79	52.04	96.55	17.86	18.03	6.44
21/2012/7	42.82	5.34	42.57	90.32	33.33	16.56	7.36
21/2012/8	42.15	5.28	5.29	82.76	27.59	18.76	9.06
21/2012/10	43.78	8.08	70.31	83.87	56.25	10.09	6.31
21/2012/11	44.86	8.2	12.97	96.15	21.43	18.59	1.99
21/2012/12	44.09	8.57	68.64	63.89	4.55	14.22	5.17
21/2013/2	37.77	27.4	12.37	85.71	70.37	21.58	5.60
21/2013/3	41.01	17.83	58.89	94.44	72.73	21.74	4.61
21/2013/4	39.72	25.89	61.86	97.06	60.87	16.57	5.76
21/2013/5	40.2	29.61	63.89	95.12	83.33	16.48	5.49
21/2013/6	39.56	14.22	84.31	94.59	71.88	22.32	13.25
21/2013/7	40.03	11.16	66.57	93.33	83.33	12.26	10.90
22/2012/1	51.53	41.33	0.24	100	80	12.95	2.59
22/2012/3	46.2	29.22	0.12	100	72	21.53	3.45
22/2012/4	48.84	10.25	0.11	100	100	13.25	4.97
22/2012/5	50.17	10.35	0.00	100	86.36	18.32	3.33
22/2012/7	52.52	30.99	0.00	100	86.67	13.59	8.15
22/2012/8	52.72	21.2	0.00	100	77.27	19.82	6.31
22/2012/10	53.06	46.85	0.00	79.31	78.95	15.4	6.48
22/2013/1	56.55	40.35	0.00	100	93.33	14.12	3.77
22/2013/2	58	44.26	0.00	100	88.24	17	11.00
22/2013/3	54.3	48.3	0.00	100	93.75	14.52	9.07
22/2013/4	56.62	43.56	0.00	100	92.31	11.45	8.81
22/2013/5	54.36	58.41	0.11	100	94.74	14.76	10.10
22/2013/6	52.76	54.78	0.00	100	100	14.02	4.38
23/2011/10	40.33	18.56	73.70	76.92	75.76	10.81	16.38
23/2012/1	37.55	11	52.65	98.7	97.22	11.29	10.04
23/2012/2	37.7	20.29	83.03	97.33	84.85	11.86	20.49
23/2012/4	39.85	8.33	77.54	98.55	97.44	12.25	19.79
23/2012/5	39.08	13.63	67.93	100	95.35	12.52	20.38
23/2012/6	39.66	28.19	65.49	96.34	93.94	10.54	17.89
23/2012/7	39.44	12.81	62.53	94.94	93.33	9.55	22.27
23/2012/8	38.66	15.78	68.18	98.51	94.59	12.22	22.13
23/2012/9	37.85	18.1	63.96	90	83.87	9.77	17.33
23/2012/11	42.63	4.05	63.29	96.92	91.43	11.11	17.78
23/2013/3	40.16	4.85	73.16	87.14	97.3	11.71	16.46
23/2013/4	43.87	7.34	94.98	92	85.29	10.46	19.37
23/2013/5	42.99	17.87	69.99	92.47	80.56	10.39	18.75
23/2013/6	41.6	20.69	76.36	95.45	64.71	10.59	20.86
23/2013/7	43.28	15.94	39.74	89.9	80.49	12.14	24.28
24/2012/1	52.01	54.9	9.08	92	22.22	9.63	16.04
24/2012/3	50.78	55.2	5.84	100	44.44	8.36	26.02
24/2012/4	52.42	49.63	3.77	88	41.67	10.81	23.42
24/2012/5	54.23	59.46	3.07	94.12	33.33	8.41	21.50
24/2012/8	53.66	50.46	0.48	92	30.77	13.18	26.37
24/2012/10	57.58	79.89	12.82	84.21	40	15.35	18.42
24/2012/11	56.29	69.6	18.23	88.89	13.33	15.84	12.67
24/2013/1	55.88	48.14	16.92	94.12	72.73	10.93	17.89
24/2013/2	54.37	15.9	40.88	100	60	21.95	17.56
24/2013/3	53.35	16.47	19.04	95.45	53.85	12.37	19.03
24/2013/6	54.49	2.75	7.64	100	22.22	8.91	14.85
24/2013/7	56.83	0	4.84	92.31	50	11.89	13.88
25/2011/9	56.02	115.82	97.08	100	100	7.15	12.26
25/2012/1	60.74	123.49	55.38	100	100	14.16	15.25
25/2012/2	57.3	124.62	135.83	100	91.67	13.9	17.38
25/2012/3	60.95	134.3	76.34	93.33	100	12.82	18.74
25/2012/4	61.14	112.23	148.61	100	100	13.31	12.28
25/2012/5	60.9	116.07	155.50	100	90	9.55	11.46
25/2012/6	61.6	112.8	45.17	97.3	100	22.39	14.93
25/2012/7	60.87	121.96	143.62	96	93.75	15.79	15.79
25/2012/8	62.49	109.58	190.99	95.65	100	11.26	9.01
25/2012/9	63.63	126.35	160.84	100	88.24	17.89	8.42
